"","time","proportionDisseminated","mainRun"
"11987",0.1,0," 86"
"11988",0.2,0," 86"
"11989",0.3,0," 86"
"11990",0.4,0.0344827586206897," 86"
"11991",0.5,0.0344827586206897," 86"
"11992",0.6,0.0344827586206897," 86"
"11993",0.7,0.0344827586206897," 86"
"11994",0.8,0.0344827586206897," 86"
"11995",0.9,0.0344827586206897," 86"
"11996",1,0.0344827586206897," 86"
"11997",1.1,0.0344827586206897," 86"
"11998",1.2,0.0344827586206897," 86"
"11999",1.3,0.0689655172413793," 86"
"12000",1.4,0.0689655172413793," 86"
"12001",1.5,0.0689655172413793," 86"
"12002",1.6,0.0689655172413793," 86"
"12003",1.7,0.103448275862069," 86"
"12004",1.8,0.103448275862069," 86"
"12005",1.9,0.103448275862069," 86"
"12006",2,0.103448275862069," 86"
"12007",2.1,0.103448275862069," 86"
"12008",2.2,0.103448275862069," 86"
"12009",2.3,0.103448275862069," 86"
"12010",2.4,0.103448275862069," 86"
"12011",2.5,0.103448275862069," 86"
"12012",2.6,0.103448275862069," 86"
"12013",2.7,0.103448275862069," 86"
"12014",2.8,0.103448275862069," 86"
"12015",2.9,0.103448275862069," 86"
"12016",3,0.137931034482759," 86"
"12017",3.1,0.137931034482759," 86"
"12018",3.2,0.137931034482759," 86"
"12019",3.3,0.137931034482759," 86"
"12020",3.4,0.137931034482759," 86"
"12021",3.5,0.137931034482759," 86"
"12022",3.6,0.137931034482759," 86"
"12023",3.7,0.137931034482759," 86"
"12024",3.8,0.137931034482759," 86"
"12025",3.9,0.137931034482759," 86"
"12026",4,0.206896551724138," 86"
"12027",4.1,0.206896551724138," 86"
"12028",4.2,0.206896551724138," 86"
"12029",4.3,0.206896551724138," 86"
"12030",4.4,0.206896551724138," 86"
"12031",4.5,0.206896551724138," 86"
"12032",4.6,0.206896551724138," 86"
"12033",4.7,0.206896551724138," 86"
"12034",4.8,0.206896551724138," 86"
"12035",4.9,0.241379310344828," 86"
"12036",5,0.241379310344828," 86"
"12037",5.1,0.241379310344828," 86"
"12038",5.2,0.241379310344828," 86"
"12039",5.3,0.241379310344828," 86"
"12040",5.4,0.241379310344828," 86"
"12041",5.5,0.241379310344828," 86"
"12042",5.6,0.275862068965517," 86"
"12043",5.7,0.275862068965517," 86"
"12044",5.8,0.275862068965517," 86"
"12045",5.9,0.275862068965517," 86"
"12046",6,0.275862068965517," 86"
"12047",6.1,0.275862068965517," 86"
"12048",6.2,0.275862068965517," 86"
"12049",6.3,0.275862068965517," 86"
"12050",6.4,0.275862068965517," 86"
"12051",6.5,0.275862068965517," 86"
"12052",6.6,0.275862068965517," 86"
"12053",6.7,0.275862068965517," 86"
"12054",6.8,0.275862068965517," 86"
"12055",6.9,0.275862068965517," 86"
"12056",7,0.275862068965517," 86"
"12057",7.1,0.275862068965517," 86"
"12058",7.2,0.275862068965517," 86"
"12059",7.3,0.275862068965517," 86"
"12060",7.4,0.275862068965517," 86"
"12061",7.5,0.275862068965517," 86"
"12062",7.6,0.275862068965517," 86"
"12063",7.7,0.275862068965517," 86"
"12064",7.8,0.275862068965517," 86"
"12065",7.9,0.275862068965517," 86"
"12066",8,0.275862068965517," 86"
"12067",8.1,0.275862068965517," 86"
"12068",8.2,0.275862068965517," 86"
"12069",8.3,0.310344827586207," 86"
"12070",8.4,0.310344827586207," 86"
"12071",8.5,0.310344827586207," 86"
"12072",8.6,0.310344827586207," 86"
"12073",8.7,0.310344827586207," 86"
"12074",8.8,0.310344827586207," 86"
"12075",8.9,0.310344827586207," 86"
"12076",9,0.413793103448276," 86"
"12077",9.1,0.413793103448276," 86"
"12078",9.2,0.413793103448276," 86"
"12079",9.3,0.413793103448276," 86"
"12080",9.4,0.448275862068966," 86"
"12081",9.5,0.482758620689655," 86"
"12082",9.6,0.482758620689655," 86"
"12083",9.7,0.482758620689655," 86"
"12084",9.8,0.482758620689655," 86"
"12085",9.9,0.482758620689655," 86"
"12086",10,0.482758620689655," 86"
"12087",10.1,0.482758620689655," 86"
"12088",10.2,0.482758620689655," 86"
"12089",10.3,0.482758620689655," 86"
"12090",10.4,0.482758620689655," 86"
"12091",10.5,0.482758620689655," 86"
"12092",10.6,0.482758620689655," 86"
"12093",10.7,0.482758620689655," 86"
"12094",10.8,0.482758620689655," 86"
"12095",10.9,0.482758620689655," 86"
"12096",11,0.482758620689655," 86"
"12097",11.1,0.517241379310345," 86"
"12098",11.2,0.551724137931034," 86"
"12099",11.3,0.551724137931034," 86"
"12100",11.4,0.551724137931034," 86"
"12101",11.5,0.620689655172414," 86"
"12102",11.6,0.620689655172414," 86"
"12103",11.7,0.620689655172414," 86"
"12104",11.8,0.620689655172414," 86"
"12105",11.9,0.620689655172414," 86"
"12106",12,0.620689655172414," 86"
"12107",12.1,0.620689655172414," 86"
"12108",12.2,0.620689655172414," 86"
"12109",12.3,0.620689655172414," 86"
"12110",12.4,0.620689655172414," 86"
"12111",12.5,0.620689655172414," 86"
"12112",12.6,0.620689655172414," 86"
"12113",12.7,0.620689655172414," 86"
"12114",12.8,0.620689655172414," 86"
"12115",12.9,0.620689655172414," 86"
"12116",13,0.620689655172414," 86"
"12117",13.1,0.655172413793103," 86"
"12118",13.2,0.655172413793103," 86"
"12119",13.3,0.655172413793103," 86"
"12120",13.4,0.689655172413793," 86"
"12121",13.5,0.724137931034483," 86"
"12122",13.6,0.724137931034483," 86"
"12123",13.7,0.724137931034483," 86"
"12124",13.8,0.724137931034483," 86"
"12125",13.9,0.724137931034483," 86"
"12126",14,0.724137931034483," 86"
"12127",0,0," 87"
"12128",0.1,0," 87"
"12129",0.2,0," 87"
"12130",0.3,0," 87"
"12131",0.4,0," 87"
"12132",0.5,0," 87"
"12133",0.6,0," 87"
"12134",0.7,0.0666666666666667," 87"
"12135",0.8,0.0666666666666667," 87"
"12136",0.9,0.0666666666666667," 87"
"12137",1,0.1," 87"
"12138",1.1,0.1," 87"
"12139",1.2,0.1," 87"
"12140",1.3,0.133333333333333," 87"
"12141",1.4,0.133333333333333," 87"
"12142",1.5,0.133333333333333," 87"
"12143",1.6,0.166666666666667," 87"
"12144",1.7,0.166666666666667," 87"
"12145",1.8,0.233333333333333," 87"
"12146",1.9,0.233333333333333," 87"
"12147",2,0.266666666666667," 87"
"12148",2.1,0.266666666666667," 87"
"12149",2.2,0.266666666666667," 87"
"12150",2.3,0.266666666666667," 87"
"12151",2.4,0.3," 87"
"12152",2.5,0.3," 87"
"12153",2.6,0.3," 87"
"12154",2.7,0.3," 87"
"12155",2.8,0.3," 87"
"12156",2.9,0.366666666666667," 87"
"12157",3,0.366666666666667," 87"
"12158",3.1,0.366666666666667," 87"
"12159",3.2,0.366666666666667," 87"
"12160",3.3,0.366666666666667," 87"
"12161",3.4,0.366666666666667," 87"
"12162",3.5,0.366666666666667," 87"
"12163",3.6,0.366666666666667," 87"
"12164",3.7,0.366666666666667," 87"
"12165",3.8,0.366666666666667," 87"
"12166",3.9,0.366666666666667," 87"
"12167",4,0.433333333333333," 87"
"12168",4.1,0.433333333333333," 87"
"12169",4.2,0.466666666666667," 87"
"12170",4.3,0.466666666666667," 87"
"12171",4.4,0.466666666666667," 87"
"12172",4.5,0.466666666666667," 87"
"12173",4.6,0.466666666666667," 87"
"12174",4.7,0.466666666666667," 87"
"12175",4.8,0.466666666666667," 87"
"12176",4.9,0.466666666666667," 87"
"12177",5,0.466666666666667," 87"
"12178",5.1,0.466666666666667," 87"
"12179",5.2,0.466666666666667," 87"
"12180",5.3,0.466666666666667," 87"
"12181",5.4,0.466666666666667," 87"
"12182",5.5,0.466666666666667," 87"
"12183",5.6,0.466666666666667," 87"
"12184",5.7,0.466666666666667," 87"
"12185",5.8,0.466666666666667," 87"
"12186",5.9,0.466666666666667," 87"
"12187",6,0.466666666666667," 87"
"12188",6.1,0.466666666666667," 87"
"12189",6.2,0.5," 87"
"12190",6.3,0.5," 87"
"12191",6.4,0.5," 87"
"12192",6.5,0.5," 87"
"12193",6.6,0.5," 87"
"12194",6.7,0.533333333333333," 87"
"12195",6.8,0.533333333333333," 87"
"12196",6.9,0.566666666666667," 87"
"12197",7,0.566666666666667," 87"
"12198",7.1,0.566666666666667," 87"
"12199",7.2,0.566666666666667," 87"
"12200",7.3,0.566666666666667," 87"
"12201",7.4,0.566666666666667," 87"
"12202",7.5,0.566666666666667," 87"
